Drug Name,Price
FORADIL 10 cap+inhaler dry powder,30
FELDENE FLASH 20mg fast dissolving tab.,25
ORELOX 100mg f.c. tab.,60
NORPROLAC 75mcg tab.,31
"COVERSYL 200mg tab.


  200 mg tab.",167
ANANDRON 50mg tab.,472
TRENTAL 20mg/ml infusion,7
FENISTIL 24 (4mg) S.R.caps.,12
LANZOR 30mg caps.,65
"INTERFERON ALFANTIVE 6,000,000 I.u/ml amp.",123
ORELOX 8mg/ml oral susp.,32
BETNOVATE 0.1 %w/w scalp application,10
ZANTAC 150mg  eff.tab. (R1),24
ZANTAC 150mg  eff.tab.,12
MONOMAK DEPOT 100mg S.R.tab.,16
CO-TAREG 80/12.5mg f.c.tab.,43
ZOFRAN 8mg/4ml amp. For I.V./I.M. inj.,272
"ZOFRAN 4mg/2ml amp. For I.V/I.M inj.,I.V. inf.",138
SYNACTHEN DEPOT 1mg/ml amp.,25
LIPITOR 10mg f.c.tab.,40
MIACALCIC 100 I.U /ml amp. For I.M./I.V./S.C inj.,26
CURAM 156.25/5ml pd. For oral susp.,14
CURAM 312.5 mg/5ml pd. for oral  susp.,21
CURAM 625mg f.c.tab.,9
LANZOR 15mg cap.,35
"FLIXOTIDE  DISKUS 250 mcg/dose  inhaler
(APPROVED:RE-REG.)",60
ONE ALPHA 1mcg caps.,160
ONE ALPHA 0.25mcg caps. (R1),80
IMIGRAN 100mg tab. (R1),120
IMIGRAN 100mg tab.,40
IMIGRAN  amp.,82
NASSAR f.c.tab.,2
ZOFRAN 8mg tab.,428
VENTOLIN DISKUS 200mcg/dose accuhaler,18
VISCUM FRAXINI-4,150
VISCUM FRAXINI-2 amp.,180
NEUROBION amp. For I.M inj.,8
IMIGRAN 50mg tab.,16
WELLBUTRIN 150mg S.R.tab.,70
CO-TAREG 160/12.5 f.c.tab.,32
FLIXOTIDE DISKUS  100mcg/dose accuhaler,40
FLIXOTIDE  DISKUS 50mcg/dose accuhaler,20
PERASAFE 50% powder (R1),192
PERASAFE 50% powder,50
VIRKON 50% powder (R1),13
VIRKON 50% powder,104
DEPONIT NT5 18.7mg patches.,22
DEPONIT NT10 37.4mg patches.,24
VELBASTINE 10mg/vial for I.V. inf.,60
ISOXAN 1gm pd. For I.V Inf.,70
CYCRAM 1g vial for I.V. inf.,19
POFOL 10mg/ml amp. For I.V. inj. Or inf. (R1),33
POFOL 10mg/ml amp. For I.V. inj. Or inf.,17
NATUFERON 10M.I.U. I.M.vial,600
NATUFERON 5M.I.U. I.M.vial,300
NATUFERON 2.5M.I.U. I.M.vial,150
LACRI-STULLN 2% eye drops,8
LANOXIN 0.25mg tab.,12
FLIXONASE  AQUEOUS  50 mcg/metered spray dose,28
ZITHROMAX 500mg I.V.infusion,120
DAUNOCIN 20mg vial for I.V. inf.,110
"DURAKINASE 1500,000 I.U./vial for I.V. inf.",250
BLOICIN-S 15 units vial,150
ZINACEF 125mg/5ml susp.,18
HURSEN DISPO 25mg/2.5ml intra-articular  prefilled syringe,150
CRESTOR 20mg f.c.tab.,56
CRESTOR 10mg f.c.tab.,35
BRONCHO-VAXOM 20mg children sachets.,32
CALCITONIN STADA 50I.u./ml amp.,60
CALCITONIN STADA 100I.U./ml amp.,90
CHORIOFACTOR 5000 I.U. vial,33
FOLLIFACTOR 75I.U. vial,51
MENOFACTOR 75I.U. vial,51
EXFORGE 5mg/160mg f.c. tab.,38
EXFORGE 10mg/160mg f.c. tab.,38
GLUCOVANCE 500/2.5mg f.c.tab.,8
GLUCOVANCE 500mg/5mg f.c.tab.,11
EZETROL 10mg tab.,90
SINGULAIR PAEDIATRIC 4mg granules,70
FOSAVANCE tab.,105
INEGY 10/20mg tab.,100
INEGY 10/40mg tablet,110
ZOCOR 10mg f.c.tab.,30
INEGY 10/10mg tab.,90
COZAAR 100mg f.c.tab,40
FOSAMAX ONCE WEEKLY 70mg tab.,63
ASPRIN 500mg tab,5
ASPIRIN C effervescent tab.,10
STREPTOLASE 1.5 MIU I.V vial,250
ASPIRIN PROTECT 100 gastro-resistant tab.,5
ROWACHOL soft gelatin cap.,8
ROWATINEX soft gelatin cap.,8
OSPAMOX 1gm dispersable tab.,10
CURAM 1gm f.c. tab.,15
THIOPHENICOL 250mg f.c.tab.,6
NOLVADEX 10mg tab.,32
EFFORTIL 5mg tab.,6
EFFORTIL 0.75gm/100gm oral drops,5
PILOCURE topical oint.,0
DOXYMYCIN 100mg caps.,4
BUSCOPAN COMPOSITUM  sugar coated tab.,6
BUSCOPAN 10mg sugar coated tab.,4
BUSCOPAN COMPOSITUM amp.,4
MESTINON 60mg sugar coated tab.,190
ALKASPIRIN tab.,1
CEVAGINE IV amp.,8
VAROLEX B12 I.M vial,7
BUSCOPAN 10mg supp.,3
CEVAROL 1000mg/5ml amp. for I.V/I.M inj.,4
AMRIZOLE 125mg/5ml susp.,4
BEDOXINE tab.,2
CIDOCETINE 0.5mg/10ml ear drops.,1
ZINC SULFATE 10mg/5ml powder for syrup,5
CIDOCETINE 125mg susp.,2
ATARAX 25mg tab.,6
SULPHA BORACYL solution,5
CID WATER syrup,1
CIDOPHYLLINE 300mg/5ml I.M.amp.,1
ETIBI 500mg f.c.tab,6
"PENICID LA 1,200,000 units vial",3
ENTOCID COMPOUND pd. in sachet for oral susp.,4
MINIDIAB 5mg tab.,3
LOPERASIN 2mg caps.,1
MEMCOCETIN 5% ear drops,2
BISOLVON 8mg tab.,3
BISOLVON 10mg/5ml solution.,3
ESELINATE 250mg/2ml amp.,2
AMPICILLIN 500 caps.,8
FRUITAL syrup,3
ALKASILON  susp.,3
ESELINATE 250mg tab.,2
"OSPEN 400,000IU syrup",6
CEPHALEXCID 250mg caps.,4
FERRONIL  125mg/5ml  syrup,2
ZYMOGEN FORTE tab.,4
OSPEXIN 1000mg tab.,24
NEOCEF 250mg/5ml syrup,5
THROMBOPHOB-S 30000 I.u./100gm gel,2
SEPTOCID antiseptic solution,2
BRUFEN 100mg/5ml susp.,4
LIGNOCAINE 2% top. Cream,1
OCUCARPINE 1% eye drops,1
RHINEX adult nasal drops,2
RHINEX INFANTILE 0.005g/10ml nasal drops,2
FROBEN 100mg tab.,7
